county,court_name
CHAUTAUQUA  ,CHERRY CREEK T.J.             
CHAUTAUQUA  ,CLYMER T.J.                   
CHAUTAUQUA  ,DUNKIRK T.J.                  
CHAUTAUQUA  ,ELLERY T.J.                   
CHAUTAUQUA  ,ELLICOTT T.J.                 
CHAUTAUQUA  ,ELLINGTON T.J.                
CHAUTAUQUA  ,FRENCH CREEK T.J.             
CHAUTAUQUA  ,GERRY T.J.                    
CHAUTAUQUA  ,HANOVER T.J.                  
CHAUTAUQUA  ,HARMONY T.J.                  
CHAUTAUQUA  ,KIANTONE T.J.                 
CHAUTAUQUA  ,MINA T.J.                     
CHAUTAUQUA  ,NORTH HARMONY T.J.            
CHAUTAUQUA  ,POLAND T.J.                   
CHAUTAUQUA  ,POMFRET T.J.                  
CHAUTAUQUA  ,PORTLAND T.J.                 
CHAUTAUQUA  ,RIPLEY T.J.                   
CHAUTAUQUA  ,SHERIDAN T.J.                 
CHAUTAUQUA  ,SHERMAN T.J.                  
CHAUTAUQUA  ,STOCKTON T.J.                 
CHAUTAUQUA  ,VILLENOVA T.J.                
CHAUTAUQUA  ,WESTFIELD T.J.                
CHAUTAUQUA  ,BROCTON V.J.                  
CHAUTAUQUA  ,FREDONIA V.J.                 
CHAUTAUQUA  ,WESTFIELD V.J.                
CHAUTAUQUA  ,SILVER CREEK V.J.             
CHEMUNG     ,ASHLAND T.J.                  
CHEMUNG     ,BALDWIN T.J.                  
CHEMUNG     ,BIG FLATS T.J.                
CHEMUNG     ,CATLIN T.J.                   
CHEMUNG     ,CHEMUNG T.J.                  
CHEMUNG     ,ELMIRA T.J.                   
CHEMUNG     ,ERIN T.J.                     
CHEMUNG     ,HORSEHEADS T.J.               
CHEMUNG     ,SOUTHPORT T.J.                
CHEMUNG     ,VAN ETTEN T.J.                
CHEMUNG     ,VETERAN T.J.                  
CHEMUNG     ,ELMIRA HEIGHTS V.J.           
CHEMUNG     ,HORSEHEADS V.J.               
CHEMUNG     ,MILLPORT V.J.                 
CHEMUNG     ,WELLSBURG V.J.                
CHENANGO    ,AFTON T.J.                    
CHENANGO    ,BAINBRIDGE T.J.               
CHENANGO    ,COLUMBUS T.J.                 
CHENANGO    ,COVENTRY T.J.                 
CHENANGO    ,GERMAN T.J.                   
CHENANGO    ,GREENE T.J.                   
CHENANGO    ,GUILFORD T.J.                 
CHENANGO    ,LINCKLAEN T.J.                
CHENANGO    ,MCDONOUGH T.J.                
CHENANGO    ,NEW BERLIN T.J.               
CHENANGO    ,NORTH NORWICH T.J.            
CHENANGO    ,NORWICH T.J.                  
CHENANGO    ,OTSELIC T.J.                  
CHENANGO    ,OXFORD T.J.                   
CHENANGO    ,PHARSALIA T.J.                
CHENANGO    ,PITCHER T.J.                  
CHENANGO    ,PLYMOUTH T.J.                 
CHENANGO    ,PRESTON T.J.                  
CHENANGO    ,SHERBURNE T.J.                
CHENANGO    ,SMITHVILLE T.J.               
CHENANGO    ,SMYRNA T.J.                   
CHENANGO    ,AFTON V.J.                    
CHENANGO    ,BAINBRIDGE V.J.               
CHENANGO    ,GREENE V.J.                   
CHENANGO    ,NEW BERLIN V.J.               
CHENANGO    ,OXFORD V.J.                   
CHENANGO    ,SHERBURNE V.J.                
CHENANGO    ,EARLVILLE V.J.                
CLINTON     ,ALTONA T.J.                   
CLINTON     ,AUSABLE T.J.                  
CLINTON     ,BEEKMANTOWN T.J.              
CLINTON     ,BLACK BROOK T.J.              
CLINTON     ,CHAMPLAIN T.J.                
CLINTON     ,CHAZY T.J.                    
CLINTON     ,CLINTON T.J.                  
CLINTON     ,DANNEMORA T.J.                
CLINTON     ,ELLENBURG T.J.                
CLINTON     ,MOOERS T.J.                   
CLINTON     ,PERU T.J.                     
CLINTON     ,PLATTSBURGH T.J.              
CLINTON     ,SARANAC T.J.                  
CLINTON     ,SCHUYLER FALLS T.J.           
CLINTON     ,KEESEVILLE VILLAGE COURT      
CLINTON     ,CHAMPLAIN V.J.                
CLINTON     ,DANNEMORA V.J.                
CLINTON     ,ROUSES POINT V.J.             
COLUMBIA    ,ANCRAM T.J.                   
COLUMBIA    ,AUSTERLITZ T.J.               
COLUMBIA    ,CANAAN T.J.                   
COLUMBIA    ,CHATHAM T.J.                  
COLUMBIA    ,CLAVERACK T.J.                
COLUMBIA    ,CLERMONT T.J.                 
COLUMBIA    ,COPAKE T.J.                   
COLUMBIA    ,GALLATIN T.J.                 
COLUMBIA    ,GERMANTOWN T.J.               
COLUMBIA    ,GHENT T.J.                    
COLUMBIA    ,GREENPORT T.J.                
COLUMBIA    ,HILLSDALE T.J.                
COLUMBIA    ,KINDERHOOK T.J.               
COLUMBIA    ,LIVINGSTON T.J.               
COLUMBIA    ,NEW LEBANON T.J.              
COLUMBIA    ,STOCKPORT T.J.                
COLUMBIA    ,STUYVESANT T.J.               
COLUMBIA    ,TAGHKANIC T.J.                
COLUMBIA    ,CHATHAM V.J.                  
COLUMBIA    ,VALATIE V.J.                  
COLUMBIA    ,PHILMONT V.J.                 
COLUMBIA    ,KINDERHOOK VILLAGE COURT      
CORTLAND    ,CINCINNATUS T.J.              
CORTLAND    ,CORTLANDVILLE T.J.            
CORTLAND    ,CUYLER T.J.                   
CORTLAND    ,FREETOWN T.J.                 
CORTLAND    ,HARFORD T.J.                  
CORTLAND    ,HOMER T.J.                    
CORTLAND    ,LAPEER T.J.                   
CORTLAND    ,MARATHON T.J.                 
CORTLAND    ,PREBLE T.J.                   
CORTLAND    ,SCOTT T.J.                    
CORTLAND    ,SOLON T.J.                    
CORTLAND    ,TAYLOR T.J.                   
CORTLAND    ,TRUXTON T.J.                  
CORTLAND    ,VIRGIL T.J.                   
CORTLAND    ,WILLET T.J.                   
CORTLAND    ,MARATHON V.J.                 
CORTLAND    ,HOMER VILLAGE COURT           
DELAWARE    ,ANDES T.J.                    
DELAWARE    ,BOVINA T.J.                   
DELAWARE    ,COLCHESTER T.J.               
DELAWARE    ,DAVENPORT T.J.                
DELAWARE    ,DELHI T.J.                    
DELAWARE    ,DEPOSIT T.J.                  
DELAWARE    ,FRANKLIN T.J.                 
DELAWARE    ,HAMDEN T.J.                   
DELAWARE    ,HANCOCK T.J.                  
DELAWARE    ,HARPERSFIELD T.J.             
DELAWARE    ,KORTRIGHT T.J.                
DELAWARE    ,MASONVILLE T.J.               
DELAWARE    ,MEREDITH T.J.                 
DELAWARE    ,MIDDLETOWN T.J.               
DELAWARE    ,ROXBURY T.J.                  
DELAWARE    ,SIDNEY T.J.                   
DELAWARE    ,STAMFORD T.J.                 
DELAWARE    ,TOMPKINS T.J.                 
DELAWARE    ,WALTON T.J.                   
DELAWARE    ,DELHI V.J.                    
DELAWARE    ,HANCOCK V.J.                  
DELAWARE    ,SIDNEY V.J.                   
DELAWARE    ,STAMFORD V.J.                 
DELAWARE    ,WALTON V.J.                   
DELAWARE    ,FLEISCHMANNS V.J.             
DUTCHESS    ,AMENIA T.J.                   
DUTCHESS    ,BEEKMAN T.J.                  
DUTCHESS    ,CLINTON T.J.                  
DUTCHESS    ,DOVER T.J.                    
DUTCHESS    ,EAST FISHKILL T.J.            
DUTCHESS    ,FISHKILL T.J.                 
DUTCHESS    ,HYDE PARK T.J.                
DUTCHESS    ,LAGRANGE T.J.                 
DUTCHESS    ,MILAN T.J.                    
DUTCHESS    ,NORTH EAST T.J.               
DUTCHESS    ,PAWLING T.J.                  
DUTCHESS    ,PINE PLAINS T.J.              
DUTCHESS    ,PLEASANT VALLEY T.J.          
DUTCHESS    ,POUGHKEEPSIE T.J.             
DUTCHESS    ,RED HOOK T.J.                 
DUTCHESS    ,RHINEBECK T.J.                
DUTCHESS    ,STANFORD T.J.                 
DUTCHESS    ,UNION VALE T.J.               
DUTCHESS    ,WAPPINGER T.J.                
DUTCHESS    ,WASHINGTON T.J.               
DUTCHESS    ,FISHKILL V.J.                 
DUTCHESS    ,MILLBROOK V.J.                
DUTCHESS    ,PAWLING V.J.                  
DUTCHESS    ,RED HOOK V.J.                 
DUTCHESS    ,RHINEBECK V.J.                
DUTCHESS    ,TIVOLI V.J.                   
DUTCHESS    ,WAPPINGERS FALLS V.J.         
ERIE        ,ALDEN T.J.                    
ERIE        ,AMHERST T.J.                  
ERIE        ,AURORA T.J.                   
ERIE        ,BOSTON T.J.                   
ERIE        ,BRANT T.J.                    
ERIE        ,CHEEKTOWAGA T.J.              
ERIE        ,CLARENCE T.J.                 
ERIE        ,COLDEN T.J.                   
ERIE        ,COLLINS T.J.                  
ERIE        ,CONCORD T.J.                  
ERIE        ,EDEN T.J.                     
ERIE        ,ELMA T.J.                     
ERIE        ,EVANS T.J.                    
ERIE        ,GRAND ISLAND T.J.             
ERIE        ,HAMBURG T.J.                  
ERIE        ,HOLLAND T.J.                  
ERIE        ,LANCASTER T.J.                
ERIE        ,MARILLA T.J.                  
ERIE        ,NEWSTEAD T.J.                 
ERIE        ,NORTH COLLINS T.J.            
ERIE        ,ORCHARD PARK T.J.             
ERIE        ,SARDINIA T.J.                 
ERIE        ,TONAWANDA T.J.                
ERIE        ,WALES T.J.                    
ERIE        ,WEST SENECA T.J.              
ERIE        ,EAST AURORA VILLAGE COURT     
ERIE        ,SPRINGVILLE VILLAGE COURT     
ERIE        ,AKRON V.J.                    
ERIE        ,ALDEN V.J.                    
ERIE        ,ANGOLA V.J.                   
ERIE        ,BLASDELL V.J.                 
ERIE        ,DEPEW V.J.                    
ERIE        ,FARNHAM V.J.                  
ERIE        ,HAMBURG V.J.                  
ERIE        ,KENMORE V.J.                  
ERIE        ,LANCASTER V.J.                
ERIE        ,ORCHARD PARK V.J.             
ERIE        ,WILLIAMSVILLE V.J.            
ESSEX       ,CHESTERFIELD T.J.             
ESSEX       ,CROWN POINT T.J.              
ESSEX       ,ELIZABETHTOWN T.J.            
ESSEX       ,ESSEX T.J.                    
ESSEX       ,JAY T.J.                      
ESSEX       ,KEENE T.J.                    
ESSEX       ,LEWIS T.J.                    
ESSEX       ,MINERVA T.J.                  
ESSEX       ,NEWCOMB T.J.                  
ESSEX       ,NORTH ELBA T.J.               
ESSEX       ,NORTH HUDSON T.J.             
ESSEX       ,ST. ARMAND T.J.               
ESSEX       ,SCHROON T.J.                  
ESSEX       ,TICONDEROGA T.J.              
ESSEX       ,WESTPORT T.J.                 
ESSEX       ,WILLSBORO T.J.                
ESSEX       ,WILMINGTON T.J.               
ESSEX       ,MORIAH T.J.                   
ESSEX       ,LAKE PLACID V.J.              
FRANKLIN    ,TUPPER LAKE TOWN COURT        
FRANKLIN    ,BANGOR T.J.                   
FRANKLIN    ,BELLMONT T.J.                 
FRANKLIN    ,BOMBAY T.J.                   
FRANKLIN    ,BRANDON T.J.                  
FRANKLIN    ,BRIGHTON T.J.                 
FRANKLIN    ,BURKE T.J.                    
FRANKLIN    ,CHATEAUGAY T.J.               
